target,target_label,lead_hour,sample_count,forecast_bias_c,forecast_mae_c,forecast_rmse_c,raw_bias_c,raw_mae_c,raw_rmse_c,persistence_mae_c,coverage_rate,mae_improvement_vs_raw_c,mae_improvement_vs_persistence_c
max,Max,36,285,0.14654543930508998,1.5423665001470064,1.8860860874149294,-1.630770099766996,2.055636833251097,2.3528075602815144,4.605789473684211,0.8035087719298246,0.5132703331040904,3.0634229735372043
max,Max,39,285,0.2683765073649716,1.4338696550212224,1.7837750586957377,0.5259104439487388,1.1496048041324014,1.4749579870338902,3.2997894736842106,0.9192982456140351,-0.28426485088882103,1.8659198186629882
max,Max,42,285,0.29533197788298066,1.0206628244546834,1.2668476725694615,0.5099789044682017,0.9653602796737936,1.2067417999979544,2.8472280701754387,0.7719298245614035,-0.055302544780889806,1.8265652457207553
max,Max,45,285,-0.22647987196738972,0.5879738431301761,0.7464573582625308,-1.5002808254934217,1.500280825493422,1.638141145039238,3.1159298245614035,0.9438596491228071,0.9123069823632458,2.5279559814312274
max,Max,48,273,-0.18707168157090945,0.7013444683298485,0.8246138251850031,-1.5639416960708568,1.5639416960708568,1.7339332616237497,3.337179487179487,0.8644688644688645,0.8625972277410082,2.6358350188496384
min,Min,3,296,-0.3291437347497871,0.6425581109863276,0.8388177705884502,-2.567674915082612,2.567674915082612,2.6796850801843823,3.7250337837837835,0.8885135135135135,1.9251168040962845,3.0824756727974556
min,Min,6,296,0.22382312563530388,1.5031166951126913,2.0250309376369766,-4.473729672759185,4.473729672759185,4.808311898417825,2.920743243243243,0.7871621621621622,2.9706129776464936,1.4176265481305519
min,Min,9,296,0.0607409593406909,2.1987270612660965,2.9151758251259263,-8.271300447390995,8.271300447390995,8.571844391560969,3.5216891891891895,0.8445945945945946,6.072573386124899,1.322962127923093
min,Min,12,296,0.021905602556676743,1.6461520097531703,1.8335093566758072,-4.172882042071368,4.172882042071367,4.535667271258216,4.427905405405405,0.8918918918918919,2.5267300323181967,2.7817533956522347
min,Min,15,296,0.30033219159009006,1.162292073053103,1.2879262495177748,-2.566466307749155,2.566466307749155,2.826289530428699,3.104391891891892,0.9121621621621622,1.4041742346960522,1.942099818838789
